"TASM 8048 Assembler.    "
/****************************************************************************
/* $Id: tasm48.tab 1.1 1993/07/31 01:12:40 toma Exp $
/****************************************************************************
/* This is the instruction set definition table for the 8048 version of TASM.
/*      Thomas N. Anderson, Speech Technology Incorported, June 1987.
/*  CLASS bits are assigned as follows:
/*      bit 0   = 8X48, 8035, 8039, 8049 instructions
/*      bit 1   = 8X41A
/*      bit 2   = 8022
/*      bit 3   = 8021
/*  Note that some of the base instructions should be disabled for the
/*    8041, 8022, and 8021, but are not.
/* 
/*INSTR ARGS OPCODE BYTES MOD CLASS SHIFT OR */
/*-------------------------------------------*/
ADD  A,R0   68 1 NOP 1
ADD  A,R1   69 1 NOP 1
ADD  A,R2   6A 1 NOP 1
ADD  A,R3   6B 1 NOP 1
ADD  A,R4   6C 1 NOP 1
ADD  A,R5   6D 1 NOP 1
ADD  A,R6   6E 1 NOP 1
ADD  A,R7   6F 1 NOP 1
ADD  A,@R0  60 1 NOP 1
ADD  A,@R1  61 1 NOP 1
ADD  A,#*   03 2 NOP 1

ADDC A,R0   78 1 NOP 1
ADDC A,R1   79 1 NOP 1
ADDC A,R2   7A 1 NOP 1
ADDC A,R3   7B 1 NOP 1
ADDC A,R4   7C 1 NOP 1
ADDC A,R5   7D 1 NOP 1
ADDC A,R6   7E 1 NOP 1
ADDC A,R7   7F 1 NOP 1
ADDC A,@R0  70 1 NOP 1
ADDC A,@R1  71 1 NOP 1
ADDC A,#*   13 2 NOP 1

ANL  A,R0   58 1 NOP 1
ANL  A,R1   59 1 NOP 1
ANL  A,R2   5A 1 NOP 1
ANL  A,R3   5B 1 NOP 1
ANL  A,R4   5C 1 NOP 1
ANL  A,R5   5D 1 NOP 1
ANL  A,R6   5E 1 NOP 1
ANL  A,R7   5F 1 NOP 1
ANL  A,@R0  50 1 NOP 1
ANL  A,@R1  51 1 NOP 1
ANL  A,#*   53 2 NOP 1
ANL  BUS,#* 98 2 NOP 1
ANL  P1,#*  99 2 NOP 1
ANL  P2,#*  9A 2 NOP 1

ANLD P4,A   9C 1 NOP 1
ANLD P5,A   9D 1 NOP 1
ANLD P6,A   9E 1 NOP 1
